date,campaign_id,platform,spend
2026-01-06,camp-400,Meta,273.04
2026-01-06,camp-401,Google,524.11
2026-01-06,camp-402,Newsletter,189.83
2026-01-07,camp-400,Meta,121.33
2026-01-07,camp-401,Google,48.70
2026-01-07,camp-402,Newsletter,408.78
2026-01-08,camp-400,Meta,522.83
2026-01-08,camp-401,Google,70.26
2026-01-08,camp-402,Newsletter,340.50
2026-01-09,camp-400,Meta,146.51
2026-01-09,camp-401,Google,611.52
2026-01-09,camp-402,Newsletter,136.98
2026-01-10,camp-400,Meta,464.75
2026-01-10,camp-401,Google,239.79
2026-01-10,camp-402,Newsletter,303.35
2026-01-11,camp-400,Meta,605.31
2026-01-11,camp-401,Google,474.56
2026-01-11,camp-402,Newsletter,58.04
